"","GeneID","TValue","PValue","Coefficient","sig.cnt","GeneID","AlzheimersPValue","AsthmaPValue","CADPValue","CKDPValue","CLDPValue","COPDPValue","EthnicityPValue","HIVPValue","LupusPValue","ObesePValue","ONDPValue","RAPValue","T1DPValue","AlzheimersFC","AsthmaFC","CADFC","CKDFC","CLDFC","COPDFC","EthnicityFC","HIVFC","LupusFC","ObeseFC","ONDFC","RAFC","T1DFC","AdjP"
"19230","RPS28",5.08140610594696,0.000354200267238507,0.837409638905462,6,"RPS28",1,1,1,0.00000000000034775651143244,0.0000963544994908602,0.00233539049375572,1,0.00000000000000212765780790565,1,1,0.0276421144761417,0.00429771452086685,1,1,1,1,1.1378359440661,1.02463842843128,0.995939544395064,1,1.09365964431666,1,1,1.06619301280191,0.984852968801072,1,0.413720061603057
"19171","RPLP1",5.00016486462102,0.000402425179479729,0.833341728928447,6,"RPLP1",1,0.026273167550872,1,0.000000000000118793077234962,0.000362308539712592,0.00487318729257908,1,0.0000000000000000140988592631192,1,1,0.000204136538932328,1,1,1,0.997085456237615,1,1.15553621790771,1.01766476510869,0.998238140682322,1,1.11839080191914,1,1,1.13562924064399,1,1,0.413720061603057
"23078","TOMM20",-4.83652001304506,0.000521890968101354,-0.824716609876977,8,"TOMM20",0.000100951172487238,0.0103471714317407,1,0.00000000985392159204778,0.00475383968907369,1,1,0.000000282388203884719,1,0.0168070256507607,0.0367042333912052,0.00227688052444603,1,0.983731758275716,0.989371799436537,1,0.870771922262265,0.985878858817085,1,1,0.981855425775544,1,0.979738721147454,0.913491201908739,1.02068095525347,1,0.413720061603057
"5528","DR1",4.80662372435255,0.000547496117932929,0.823075759457354,7,"DR1",1,1,1,0.0000000000000000000617478159512746,0.0000903982623853358,0.0134567302378654,1,0.00000000000000130208835028258,1,0.0216757790595106,0.000222532034464627,0.000405823261733266,1,1,1,1,1.26503282920923,1.12200004951665,0.984911028539396,1,1.05351542685178,1,0.978920915531534,1.20237834752414,0.977913875697348,1,0.413720061603057
"17430","POU2F1",4.57719335589666,0.000793977238112254,0.809765140277494,6,"POU2F1",0.0000141405359876204,1,1,0.000000000132014029303698,1,1,1,0.00000043156113015979,1,0.0157782148768684,0.0193723974824853,0.000000063924249327861,1,1.01253814114567,1,1,1.172717959359,1,1,1,1.02072089769773,1,0.984908980221155,1.14181178540018,0.969158307469059,1,0.413720061603057
"152","ACADM",-4.4195398342848,0.00102929912599097,-0.799828844356941,5,"ACADM",0.000000855053614694004,1,1,0.00000000228138732813457,0.000633951585115183,1,1,1,1,1,0.0470120832254214,0.000828427039530992,1,0.975464815060185,1,1,0.764965413195798,0.951896554475432,1,1,1,1,1,0.887657294644666,1.0425228985403,1,0.413720061603057
"18924","RNF138",-4.36154956937991,0.00113336738632126,-0.795999766438673,4,"RNF138",1,1,1,0.000000014061375538227,0.00000337938043145946,1,1,1,1,1,0.010283421445067,0.000293869271900093,1,1,1,1,0.734194695423175,0.911010568367412,1,1,1,1,1,0.778761995149214,1.06655778395611,1,0.413720061603057
"9501","IRGQ",4.49973170307547,0.00114357913449195,0.818165691180306,6,"IRGQ",NA,1,1,0.0000000000000139070954707857,0.0281797085464692,1,1,1,1,0.0320364835777953,0.0145168411213174,0.00368924696511857,0.00461413447819151,NA,1,1,1.13244180321189,1.06059289179787,1,1,1,1,1.04273360876129,1.16467695059244,0.988464368742148,1.06750389710676,0.413720061603057
"17384","POLR3GL",-4.38986472640207,0.00135634660130856,-0.811396272591583,8,"POLR3GL",0.0000000000484855502433417,1,NA,0.000000000545178949605335,0.000000516366758011149,0.00368228576354246,1,0.00000376113014853402,1,1,0.000122153902059186,0.00294450261833993,0.00560851190075852,0.964991027242943,1,NA,0.903279455623318,0.922032678632933,0.990229638272813,1,0.976231183720031,1,1,0.833684730779383,1.01993726323373,0.975707143496298,0.413720061603057
"19115","RPL23A",4.24228755345287,0.00138354541183284,0.78781372185028,9,"RPL23A",0.000126916789149574,1,1,0.0000000000000000000505217036580122,0.00000745423529578729,0.00266644209474555,1,0.000000000000000000367111864592898,1,0.00598250424357176,0.00160466149437079,0.0262148590311675,0.0278970566342002,0.991373761176141,1,1,1.25910908661466,1.02271639341715,0.998113551073792,1,1.09275891358172,1,0.997948665975043,1.09815742149387,0.996396632642714,0.99636434938286,0.413720061603057
